block_number,sender,to,amount0,amount1
25740686,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x70a9c497536E98F2DbB7C66911700fe2b2550900,75799640238711708140,1206125076029846445154
26527848,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x04e05A4256E2e03033022aBeA86182EA537AE99E,1611844297315169381569,33995520615980164632762
26559780,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4c963931F71E6B471a1E4876eaD08871bA8059e2,85828219806287435289,1679481784994460644876
26565714,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4c963931F71E6B471a1E4876eaD08871bA8059e2,646877131224203798088,12037782664515255966585
26785260,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE6446ce09CeF86a339aB17c3F1dc8565bad7FBb0,20962996451438164080,304585398841840970365
26795663,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE6446ce09CeF86a339aB17c3F1dc8565bad7FBb0,13733298733803877820,205637283034334184850
26808230,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x54F65A11Ac61dE39DC70379a3CA0FA268EEf952c,2016801583854863289151,32717453373226235502136
26810249,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4a9cee38C70B55E9806e7d6De9e4cCDfdB418780,121721760849900131963,2006402607225868871825
26819611,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4a9cee38C70B55E9806e7d6De9e4cCDfdB418780,529801385162998791404,8947414819467771238117
26835302,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE6446ce09CeF86a339aB17c3F1dc8565bad7FBb0,206571055362906458340,3559249022521904239387
26943137,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x593da458366840592E7757Ea03d2D5F596819589,49437119591028313599,1262336715758920977386
26956493,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8DbE4031AFFdD52D9e8BA43248063157A2d44a50,38072973608078549897,1001901400785192875142
26990050,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x593da458366840592E7757Ea03d2D5F596819589,107761559363360831216,3134726922272148017171
27020269,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x593da458366840592E7757Ea03d2D5F596819589,98119953795406272542,3096057716218257255943
27048899,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb359bFB28a8BD401dAC95e1d50c8C06e8f16D8fa,1001875204790125769814,37308677346192108353170
27054769,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x593da458366840592E7757Ea03d2D5F596819589,48994590677026435524,1882339070761134320886
27076060,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x593da458366840592E7757Ea03d2D5F596819589,44795313244434001937,1868608945944040625912
27305234,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x593da458366840592E7757Ea03d2D5F596819589,22540762086221963551,1822778255461245568234
